source,target,Period,total_votes_shared,total_votes_agreed,weight,topic
Danmarksdemokraterne,Danmarksdemokraterne,68,1970,1967.0,0.9984771573604061,andet
Danmarksdemokraterne,Dansk Folkeparti,68,3365,3360.0,0.9985141158989599,andet
Danmarksdemokraterne,Det Konservative Folkeparti,68,3657,2783.0,0.7610062893081762,andet
Danmarksdemokraterne,Enhedslisten,68,6654,3163.0,0.4753531710249474,andet
Danmarksdemokraterne,Liberal Alliance,68,3658,2369.0,0.6476216511755057,andet
Danmarksdemokraterne,Moderaterne,68,274,200.0,0.7299270072992701,andet
Danmarksdemokraterne,Radikale Venstre,68,6951,4282.0,0.6160264710113653,andet
Danmarksdemokraterne,Socialdemokratiet,68,8026,5016.0,0.6249688512334911,andet
Danmarksdemokraterne,Socialistisk Folkeparti,68,3990,2367.0,0.5932330827067669,andet
Danmarksdemokraterne,Uden for folketingsgrupperne,68,2307,2128.0,0.9224100563502384,andet
Danmarksdemokraterne,Venstre,68,11195,8759.0,0.782402858418937,andet
Dansk Folkeparti,Danmarksdemokraterne,68,2421,2420.0,0.9995869475423379,andet
Dansk Folkeparti,Dansk Folkeparti,68,2770,2770.0,1.0,andet
Dansk Folkeparti,Det Konservative Folkeparti,68,3856,2904.0,0.7531120331950207,andet
Dansk Folkeparti,Enhedslisten,68,7315,3470.0,0.47436773752563227,andet
Dansk Folkeparti,Liberal Alliance,68,3509,2317.0,0.6603020803647763,andet
Dansk Folkeparti,Moderaterne,68,199,136.0,0.6834170854271356,andet
Dansk Folkeparti,Radikale Venstre,68,6390,3957.0,0.6192488262910798,andet
Dansk Folkeparti,Socialdemokratiet,68,8094,5099.0,0.6299728193723746,andet
Dansk Folkeparti,Socialistisk Folkeparti,68,4557,2704.0,0.5933728330041694,andet
Dansk Folkeparti,Uden for folketingsgrupperne,68,2065,1844.0,0.8929782082324456,andet
Dansk Folkeparti,Venstre,68,11495,8845.0,0.7694649847759896,andet
Det Konservative Folkeparti,Danmarksdemokraterne,68,1417,1040.0,0.7339449541284404,andet
Det Konservative Folkeparti,Dansk Folkeparti,68,1897,1408.0,0.7422245651027939,andet
Det Konservative Folkeparti,Det Konservative Folkeparti,68,1897,1891.0,0.9968371112282551,andet
Det Konservative Folkeparti,Enhedslisten,68,4810,2325.0,0.48336798336798337,andet
Det Konservative Folkeparti,Liberal Alliance,68,2266,1556.0,0.6866725507502206,andet
Det Konservative Folkeparti,Moderaterne,68,171,164.0,0.9590643274853801,andet
Det Konservative Folkeparti,Radikale Venstre,68,3800,2834.0,0.7457894736842106,andet
Det Konservative Folkeparti,Socialdemokratiet,68,5227,3995.0,0.7643007461258848,andet
Det Konservative Folkeparti,Socialistisk Folkeparti,68,3012,2133.0,0.7081673306772909,andet
Det Konservative Folkeparti,Uden for folketingsgrupperne,68,1284,942.0,0.7336448598130841,andet
Det Konservative Folkeparti,Venstre,68,7010,6628.0,0.9455064194008559,andet
Enhedslisten,Danmarksdemokraterne,68,3504,1806.0,0.5154109589041096,andet
Enhedslisten,Dansk Folkeparti,68,4374,2164.0,0.4947416552354824,andet
Enhedslisten,Det Konservative Folkeparti,68,5242,2261.0,0.4313239221671118,andet
Enhedslisten,Enhedslisten,68,8886,8583.0,0.9659014179608373,andet
Enhedslisten,Liberal Alliance,68,5112,2451.0,0.4794600938967136,andet
Enhedslisten,Moderaterne,68,417,190.0,0.4556354916067146,andet
Enhedslisten,Radikale Venstre,68,9023,5917.0,0.6557685913775906,andet
Enhedslisten,Socialdemokratiet,68,11872,7496.0,0.6314016172506739,andet
Enhedslisten,Socialistisk Folkeparti,68,6490,4453.0,0.6861325115562403,andet
Enhedslisten,Uden for folketingsgrupperne,68,3100,1526.0,0.492258064516129,andet
Enhedslisten,Venstre,68,16394,6762.0,0.41246797608881297,andet
Liberal Alliance,Danmarksdemokraterne,68,951,624.0,0.6561514195583596,andet
Liberal Alliance,Dansk Folkeparti,68,1797,1181.0,0.6572064552031163,andet
Liberal Alliance,Det Konservative Folkeparti,68,2258,1571.0,0.695748449955713,andet
Liberal Alliance,Enhedslisten,68,4085,2017.0,0.4937576499388005,andet
Liberal Alliance,Liberal Alliance,68,1546,1539.0,0.9954721862871928,andet
Liberal Alliance,Moderaterne,68,54,41.0,0.7592592592592593,andet
Liberal Alliance,Radikale Venstre,68,2815,1711.0,0.6078152753108348,andet
Liberal Alliance,Socialdemokratiet,68,4696,2810.0,0.598381601362862,andet
Liberal Alliance,Socialistisk Folkeparti,68,2773,1603.0,0.5780742877749729,andet
Liberal Alliance,Uden for folketingsgrupperne,68,976,779.0,0.798155737704918,andet
Liberal Alliance,Venstre,68,5566,3945.0,0.7087675170679123,andet
Moderaterne,Danmarksdemokraterne,68,271,203.0,0.7490774907749077,andet
Moderaterne,Dansk Folkeparti,68,361,261.0,0.7229916897506925,andet
Moderaterne,Det Konservative Folkeparti,68,383,361.0,0.9425587467362925,andet
Moderaterne,Enhedslisten,68,630,322.0,0.5111111111111111,andet
Moderaterne,Liberal Alliance,68,410,318.0,0.775609756097561,andet
Moderaterne,Moderaterne,68,2,2.0,1.0,andet
Moderaterne,Radikale Venstre,68,738,567.0,0.7682926829268293,andet
Moderaterne,Socialdemokratiet,68,907,709.0,0.7816979051819184,andet
Moderaterne,Socialistisk Folkeparti,68,337,241.0,0.7151335311572701,andet
Moderaterne,Uden for folketingsgrupperne,68,261,207.0,0.7931034482758621,andet
